STAPLETON COREY C,MT,REP,435971.02
STEPHENS AMY,CO,REP,81741.00
STERLING SHAWNA,KY,REP,
STOCKMAN STEVE,TX,REP,114302.00
STOVALL DWAYNE BRADLEY,TX,REP,83774.00
SULLIVAN DAN,AK,REP,3573180.00
SULLIVAN MICHAEL J,MA,REP,400093.00
TESTERMAN KAREN,NH,REP,50438.00
THONEY ROGER,KY,REP,14775.00
TILLIS THOM R,NC,REP,4222794.00
TREADWELL MEAD,AK,REP,954665.00
TRUAX DOUGLAS LEE,IL,REP,412893.00
TRUJILLO FLOYD,CO,REP,24730.00
VEGA LINDA,TX,REP,16306.00
WADE KEVIN L,DE,REP,13204.00
WATSON JERRY B,NJ,REP,4000.00
WEGER JASON MARK,OK,REP,5800.00
WEH ALLEN,NM,REP,609197.00
WEHBY MONICA,OR,REP,2049732.00
WHITAKER MATTHEW GEORGE MATT,IA,REP,422211.00
WINSLOW DAN,MA,REP,338431.00
WOLF MILTON,KS,REP,1016204.00
WYATT ERICK PAUL,OK,REP,
WYATT ERICK PAUL,TX,REP,25.00
YOUNG RANDALL,SC,REP,
YU EUGENE CHIN,GA,REP,684374.98
ZACCARIA MARK S,RI,REP,9800.00
ZAHNTER ALVIN E.,KS,REP,
